state,timestamp
2,0
4,780
1,2220
2,2880
4,3480
2,6540
4,7980
2,8760
4,11100
2,11580
4,12360
2,13080
1,15720
1,16740
2,17640
4,19081
2,19440
4,21960
2,22380
4,24060
2,24900
1,25740
2,26340
4,27480
2,29340
4,31800
2,32220
4,33780
2,38940
4,39660
1,41640
2,42300
4,42480
1,42840
